signal_date,strategy,ticker,signal
2026-05-13,swing,ICON.JK,PRE_MARKUP
2026-05-13,swing,INCO.JK,PRE_MARKUP
2026-05-13,swing,INPP.JK,PRE_MARKUP
2026-05-13,swing,KAEF.JK,PRE_MARKUP
2026-05-13,swing,KBLM.JK,PRE_MARKUP
2026-05-13,swing,KONI.JK,PRE_MARKUP
2026-05-13,swing,LPIN.JK,PRE_MARKUP
2026-05-13,swing,MAPI.JK,PRE_MARKUP
2026-05-13,swing,PADI.JK,PRE_MARKUP
2026-05-13,swing,PNBN.JK,PRE_MARKUP
2026-05-13,swing,PNLF.JK,PRE_MARKUP
2026-05-13,swing,RBMS.JK,PRE_MARKUP
2026-05-13,swing,SAME.JK,PRE_MARKUP
2026-05-13,swing,SCCO.JK,PRE_MARKUP
2026-05-13,swing,SMSM.JK,PRE_MARKUP
2026-05-13,swing,UNIC.JK,PRE_MARKUP
2026-05-13,swing,WINS.JK,PRE_MARKUP
2026-05-13,swing,OASA.JK,PRE_MARKUP
2026-05-13,swing,POWR.JK,PRE_MARKUP
2026-05-13,swing,PRDA.JK,PRE_MARKUP
2026-05-13,swing,MINA.JK,PRE_MARKUP
2026-05-13,swing,MPOW.JK,PRE_MARKUP
2026-05-13,swing,MARK.JK,PRE_MARKUP
2026-05-13,swing,MORA.JK,PRE_MARKUP
2026-05-13,swing,PBID.JK,PRE_MARKUP
2026-05-13,swing,JMAS.JK,PRE_MARKUP
2026-05-13,swing,GHON.JK,PRE_MARKUP
2026-05-13,swing,DFAM.JK,PRE_MARKUP
2026-05-13,swing,PRIM.JK,PRE_MARKUP
2026-05-13,swing,PEHA.JK,PRE_MARKUP
2026-05-13,swing,CLAY.JK,PRE_MARKUP
